aX,aY,aZ
-1.378,0.174,-0.490
-1.381,0.178,-0.487
-1.383,0.125,-0.499
-1.405,0.129,-0.522
-1.373,0.139,-0.518
-1.375,0.145,-0.531
-1.380,0.155,-0.516
-1.356,0.142,-0.501
-1.343,0.114,-0.488
-1.336,0.103,-0.500
-1.319,0.091,-0.505
-1.291,0.056,-0.506
-1.266,0.039,-0.515
-1.246,0.023,-0.528
-1.208,-0.010,-0.537
-1.183,-0.040,-0.558
-1.172,-0.062,-0.572
-1.142,-0.067,-0.597
-1.115,-0.084,-0.604
-1.086,-0.116,-0.625
-1.080,-0.141,-0.635
-1.056,-0.161,-0.631
-1.036,-0.201,-0.631
-0.998,-0.236,-0.644
-0.981,-0.275,-0.689
-0.947,-0.293,-0.704
-0.921,-0.326,-0.702
-0.920,-0.334,-0.699
-0.923,-0.304,-0.673
-0.930,-0.286,-0.664
-0.931,-0.285,-0.666
-0.926,-0.324,-0.671
-0.913,-0.346,-0.669
-0.881,-0.395,-0.661
-0.850,-0.446,-0.663
-0.844,-0.477,-0.615
-0.822,-0.495,-0.603
-0.826,-0.517,-0.617
-0.812,-0.538,-0.607
-0.778,-0.554,-0.633
-0.761,-0.559,-0.646
-0.746,-0.606,-0.646
-0.746,-0.637,-0.670
-0.736,-0.645,-0.689
-0.718,-0.655,-0.711
-0.688,-0.659,-0.713
-0.669,-0.645,-0.750
-0.661,-0.636,-0.777
-0.648,-0.619,-0.793
-0.635,-0.598,-0.821
-0.627,-0.593,-0.868
-0.605,-0.598,-0.909
-0.570,-0.610,-0.936
-0.533,-0.610,-0.967
-0.510,-0.651,-1.016
-0.465,-0.668,-1.074
-0.422,-0.686,-1.098
-0.380,-0.686,-1.142
-0.367,-0.671,-1.164
-0.342,-0.665,-1.176
-0.305,-0.656,-1.179
-0.284,-0.651,-1.178
-0.258,-0.646,-1.164
-0.234,-0.628,-1.150
-0.211,-0.617,-1.104
-0.203,-0.619,-1.053
-0.177,-0.619,-1.005
-0.146,-0.613,-0.979
-0.119,-0.616,-0.932
-0.105,-0.615,-0.887
-0.085,-0.610,-0.840
-0.060,-0.602,-0.815
-0.055,-0.569,-0.757
-0.058,-0.548,-0.678
-0.057,-0.547,-0.597
-0.054,-0.546,-0.556
-0.056,-0.526,-0.475
-0.056,-0.513,-0.389
-0.067,-0.505,-0.357
-0.087,-0.497,-0.302
-0.087,-0.498,-0.239
-0.081,-0.497,-0.206
-0.091,-0.478,-0.191
-0.101,-0.463,-0.167
-0.111,-0.442,-0.160
-0.124,-0.435,-0.164
-0.135,-0.424,-0.167
-0.133,-0.434,-0.163
-0.132,-0.447,-0.162
-0.133,-0.451,-0.162
-0.142,-0.445,-0.175
-0.151,-0.438,-0.189
-0.159,-0.444,-0.204
-0.160,-0.453,-0.214
-0.163,-0.467,-0.220
-0.168,-0.470,-0.230
-0.177,-0.471,-0.248
-0.183,-0.473,-0.260
-0.198,-0.463,-0.272
-0.215,-0.441,-0.288
-0.225,-0.436,-0.303
-0.242,-0.435,-0.295
-0.256,-0.428,-0.285
-0.264,-0.430,-0.262
-0.273,-0.432,-0.251
-0.273,-0.443,-0.248
-0.273,-0.456,-0.254
-0.278,-0.460,-0.260
-0.279,-0.480,-0.261
-0.278,-0.503,-0.268
-0.277,-0.513,-0.283
-0.268,-0.516,-0.302
-0.267,-0.528,-0.306
-0.262,-0.536,-0.315
-0.259,-0.556,-0.324
-0.256,-0.568,-0.324
-0.251,-0.592,-0.322
-0.249,-0.610,-0.313
-0.244,-0.620,-0.300
-1.357,-0.368,-0.292
-1.228,-0.320,-0.361
-1.206,-0.451,-0.389
-1.165,-0.458,-0.374
-1.159,-0.485,-0.377
-1.168,-0.496,-0.408
-1.160,-0.523,-0.420
-1.133,-0.560,-0.446
-1.118,-0.589,-0.483
-1.100,-0.591,-0.524
-1.078,-0.597,-0.536
-1.056,-0.600,-0.542
-1.051,-0.605,-0.546
-1.037,-0.607,-0.535
-1.037,-0.602,-0.527
-1.019,-0.616,-0.556
-1.000,-0.671,-0.541
-0.935,-0.709,-0.549
-0.865,-0.755,-0.582
-0.837,-0.770,-0.667
-0.826,-0.801,-0.670
-0.811,-0.793,-0.677
-0.789,-0.719,-0.701
-0.785,-0.659,-0.733
-0.783,-0.649,-0.750
-0.770,-0.634,-0.756
-0.732,-0.640,-0.761
-0.707,-0.653,-0.780
-0.686,-0.660,-0.751
-0.665,-0.691,-0.729
-0.635,-0.723,-0.703
-0.618,-0.766,-0.657
-0.596,-0.775,-0.647
-0.567,-0.791,-0.670
-0.511,-0.837,-0.689
-0.484,-0.874,-0.737
-0.424,-0.884,-0.784
-0.371,-0.904,-0.815
-0.325,-0.921,-0.878
-0.305,-0.916,-0.953
-0.275,-0.901,-1.024
-0.268,-0.839,-1.049
-0.265,-0.803,-1.096
-0.259,-0.793,-1.129
-0.240,-0.782,-1.137
-0.206,-0.778,-1.132
-0.185,-0.779,-1.099
-0.159,-0.774,-1.044
-0.135,-0.743,-0.890
-0.116,-0.710,-0.967
-0.107,-0.692,-0.935
-0.083,-0.690,-0.906
-0.067,-0.668,-0.888
-0.043,-0.648,-0.854
-0.036,-0.632,-0.844
-0.016,-0.628,-0.844
0.007,-0.615,-0.846
0.035,-0.613,-0.857
0.048,-0.608,-0.871
0.071,-0.606,-0.875
0.089,-0.608,-0.878
0.092,-0.598,-0.883
0.104,-0.595,-0.888
0.109,-0.578,-0.890
0.120,-0.560,-0.884
0.124,-0.543,-0.870
0.127,-0.539,-0.856
0.123,-0.532,-0.851
0.119,-0.539,-0.842
0.113,-0.534,-0.825
0.093,-0.521,-0.815
0.070,-0.492,-0.799
0.061,-0.462,-0.769
0.035,-0.444,-0.735
0.008,-0.415,-0.718
-0.004,-0.399,-0.664
-0.022,-0.397,-0.606
-0.046,-0.387,-0.578
-0.063,-0.393,-0.523
-0.070,-0.405,-0.482
-0.081,-0.407,-0.452
-0.098,-0.407,-0.434
-0.115,-0.404,-0.407
-0.123,-0.397,-0.386
-0.146,-0.393,-0.352
-0.169,-0.386,-0.337
-0.197,-0.382,-0.318
-0.206,-0.382,-0.282
-0.228,-0.386,-0.260
-0.256,-0.345,-0.266
-0.253,-0.429,-0.159
-0.271,-0.434,-0.098
-0.262,-0.359,-0.112
-0.302,-0.367,-0.138
-0.309,-0.414,-0.118
-0.299,-0.413,-0.114
-0.304,-0.413,-0.117
-0.320,-0.413,-0.117
-0.318,-0.410,-0.112
-0.330,-0.409,-0.114
-0.334,-0.418,-0.117
-0.329,-0.439,-0.117
-0.326,-0.452,-0.117
-0.318,-0.468,-0.114
-0.308,-0.498,-0.110
-0.300,-0.519,-0.119
-0.287,-0.528,-0.121
-0.279,-0.535,-0.123
-0.283,-0.536,-0.117
-0.279,-0.548,-0.098
-0.266,-0.554,-0.077
-0.257,-0.573,-0.071
-0.247,-0.590,-0.068
-0.240,-0.603,-0.072
-0.231,-0.613,-0.089
-0.216,-0.629,-0.098
-0.195,-0.656,-0.127
-0.186,-0.681,-0.163
-0.169,-0.698,-0.206
-1.094,-0.497,-0.681
-1.064,-0.456,-0.939
-1.040,-0.488,-1.183
-1.039,-0.553,-1.312
-1.066,-0.584,-1.477
-1.086,-0.611,-1.579
-1.145,-0.609,-1.632
-1.206,-0.607,-1.641
-1.357,-0.615,-1.614
-1.272,-0.616,-1.520
-1.285,-0.655,-1.477
-1.311,-0.657,-1.379
-1.202,-0.625,-0.850
-1.178,-0.494,-0.990
-1.588,-0.346,-1.216
-1.464,-0.730,-0.928
-1.209,-0.583,-0.680
-1.199,-0.635,-0.780
-1.176,-0.638,-0.791
-1.154,-0.611,-0.688
-1.139,-0.658,-0.641
-1.175,-0.688,-0.568
-1.089,-0.667,-0.427
-1.095,-0.660,-0.572
-1.091,-0.685,-0.616
-0.903,-0.704,-0.456
-0.869,-0.765,-0.517
-0.932,-0.790,-0.560
-0.811,-0.846,-0.512
-0.769,-0.924,-0.502
-0.754,-0.927,-0.583
-0.678,-0.943,-0.625
-0.614,-0.920,-0.727
-0.612,-0.875,-0.837
-0.549,-0.867,-0.911
-0.499,-0.853,-0.936
-0.482,-0.873,-0.944
-0.429,-0.885,-0.956
-0.419,-0.889,-0.973
-0.385,-0.866,-0.977
-0.358,-0.847,-0.968
-0.358,-0.813,-1.066
-0.302,-0.845,-1.052
-0.280,-0.856,-1.067
-0.254,-0.852,-1.046
-0.238,-0.795,-1.046
-0.238,-0.763,-1.069
-0.249,-0.752,-1.047
-0.223,-0.740,-1.053
-0.216,-0.730,-1.066
-0.212,-0.699,-1.072
-0.185,-0.686,-1.055
-0.152,-0.661,-1.011
-0.132,-0.671,-0.978
-0.117,-0.673,-0.903
-0.105,-0.633,-0.866
-0.119,-0.606,-0.825
-0.118,-0.567,-0.795
-0.125,-0.555,-0.732
-0.132,-0.552,-0.681
-0.125,-0.537,-0.651
-0.127,-0.502,-0.598
-0.123,-0.468,-0.566
-0.110,-0.466,-0.553
-0.097,-0.482,-0.558
-0.083,-0.499,-0.574
-0.057,-0.499,-0.589
-0.039,-0.489,-0.602
-0.036,-0.454,-0.604
-0.039,-0.425,-0.601
-0.036,-0.408,-0.603
-0.018,-0.404,-0.601
-0.013,-0.387,-0.597
-0.017,-0.358,-0.584
-0.030,-0.348,-0.563
-0.044,-0.337,-0.548
-0.061,-0.325,-0.514
-0.068,-0.315,-0.483
-0.089,-0.305,-0.467
-0.109,-0.282,-0.428
-0.116,-0.272,-0.389
-0.131,-0.271,-0.354
-0.142,-0.265,-0.339
-0.149,-0.262,-0.306
-0.152,-0.265,-0.262
-0.150,-0.263,-0.238
-0.141,-0.290,-0.226
-0.137,-0.310,-0.216
-0.135,-0.310,-0.227
-0.151,-0.292,-0.243
-0.156,-0.302,-0.239
-0.156,-0.323,-0.238
-0.151,-0.334,-0.248
-0.144,-0.362,-0.251
-0.139,-0.382,-0.254
-0.136,-0.386,-0.265
-0.141,-0.390,-0.268
-0.145,-0.396,-0.284
-0.144,-0.423,-0.304
-0.137,-0.463,-0.317
-0.129,-0.481,-0.319
-0.121,-0.520,-0.322
-0.125,-0.532,-0.327
-0.130,-0.534,-0.330
-0.145,-0.532,-0.324
-0.158,-0.538,-0.315
-0.167,-0.558,-0.311
-0.171,-0.583,-0.299
-0.182,-0.592,-0.287
-0.194,-0.604,-0.281
-0.214,-0.613,-0.279
-0.227,-0.617,-0.274
-0.233,-0.629,-0.264
-0.243,-0.636,-0.254
-0.246,-0.648,-0.249
-0.250,-0.657,-0.235
-0.256,-0.662,-0.222
-0.255,-0.673,-0.215
-0.255,-0.678,-0.211
-1.260,-0.210,-0.544
-1.287,-0.212,-0.574
-1.317,-0.223,-0.601
-1.327,-0.229,-0.610
-1.323,-0.256,-0.622
-1.320,-0.292,-0.631
-1.301,-0.307,-0.571
-1.275,-0.165,-0.456
-1.396,-0.451,-0.584
-1.448,-0.486,-0.622
-1.262,-0.414,-0.465
-1.199,-0.433,-0.449
-1.242,-0.424,-0.482
-1.250,-0.433,-0.505
-1.281,-0.458,-0.555
-1.217,-0.402,-0.504
-1.182,-0.372,-0.500
-1.211,-0.373,-0.582
-1.219,-0.364,-0.572
-1.190,-0.393,-0.525
-1.157,-0.396,-0.530
-1.143,-0.404,-0.536
-1.100,-0.451,-0.547
-1.075,-0.487,-0.575
-1.032,-0.496,-0.626
-0.983,-0.528,-0.657
-0.943,-0.532,-0.721
-0.927,-0.546,-0.793
-0.900,-0.574,-0.832
-0.877,-0.588,-0.870
-0.870,-0.565,-0.915
-0.818,-0.573,-0.983
-0.778,-0.561,-1.013
-0.763,-0.562,-1.075
-0.755,-0.570,-1.111
-0.716,-0.584,-1.112
-0.676,-0.615,-1.123
-0.664,-0.633,-1.140
-0.627,-0.664,-1.153
-0.593,-0.639,-1.177
-0.526,-0.793,-1.192
-0.492,-0.762,-1.130
