aX,aY,aZ
0.338,0.399,1.298
0.339,0.406,1.388
0.344,0.396,1.414
0.346,0.380,1.467
0.357,0.364,1.514
0.370,0.319,1.532
0.375,0.301,1.564
0.375,0.281,1.575
0.358,0.262,1.597
0.357,0.246,1.627
0.366,0.206,1.632
0.364,0.158,1.628
0.358,0.137,1.609
0.345,0.111,1.593
0.336,0.108,1.546
0.309,0.116,1.518
0.294,0.142,1.451
0.261,0.159,1.377
0.221,0.191,1.333
0.200,0.211,1.250
0.163,0.219,1.168
0.131,0.239,1.130
0.115,0.257,1.053
0.091,0.271,1.027
0.067,0.281,0.968
0.055,0.281,0.915
0.039,0.287,0.898
0.041,0.279,0.868
0.040,0.267,0.844
0.049,0.241,0.841
0.056,0.219,0.837
0.075,0.203,0.839
0.096,0.171,0.846
0.106,0.146,0.867
0.132,0.130,0.880
0.146,0.098,0.910
0.181,0.083,0.933
0.212,0.050,0.938
0.231,0.012,0.954
0.257,-0.008,0.967
0.282,-0.041,0.974
0.292,-0.068,0.972
0.312,-0.080,0.962
0.321,-0.095,0.956
0.321,-0.101,0.936
0.316,-0.099,0.912
0.306,-0.091,0.901
0.305,-0.082,0.876
0.296,-0.080,0.856
0.289,-0.077,0.846
0.287,-0.079,0.831
0.288,-0.082,0.822
0.288,-0.089,0.819
0.288,-0.090,0.821
0.283,-0.090,0.838
0.279,-0.091,0.848
0.277,-0.094,0.874
0.277,-0.095,0.907
0.276,-0.104,0.922
0.276,-0.114,0.950
0.278,-0.118,0.963
0.276,-0.118,0.990
0.275,-0.124,1.011
0.275,-0.125,1.027
0.270,-0.127,1.030
0.268,-0.131,1.036
0.265,-0.132,1.038
0.264,-0.137,1.038
0.262,-0.142,1.038
0.260,-0.144,1.031
0.256,-0.145,1.026
0.257,-0.150,1.021
0.256,-0.151,1.019
0.255,-0.155,1.018
0.250,-0.158,1.017
0.245,-0.157,1.014
0.241,-0.156,1.011
0.234,-0.158,1.005
0.234,-0.157,0.999
0.234,-0.160,0.996
0.236,-0.169,0.983
0.228,-0.170,0.973
0.228,-0.173,0.968
0.227,-0.174,0.959
0.224,-0.173,0.948
0.219,-0.167,0.943
0.221,-0.165,0.928
0.221,-0.161,0.918
0.224,-0.160,0.913
0.224,-0.168,0.906
0.222,-0.169,0.905
0.219,-0.166,0.907
0.216,-0.163,0.913
0.209,-0.163,0.920
0.208,-0.159,0.924
0.207,-0.162,0.932
0.205,-0.165,0.943
0.206,-0.170,0.945
0.206,-0.176,0.956
0.207,-0.179,0.964
0.207,-0.181,0.970
0.203,-0.177,0.984
0.203,-0.174,1.003
0.202,-0.172,1.009
0.199,-0.171,1.022
0.199,-0.173,1.034
0.204,-0.174,1.036
0.204,-0.172,1.040
0.205,-0.177,1.042
0.207,-0.175,1.044
0.203,-0.178,1.044
0.207,-0.181,1.049
0.208,-0.178,1.050
0.211,-0.177,1.049
0.212,-0.177,1.049
0.211,-0.176,1.048
0.211,-0.173,1.046
0.205,-0.172,1.044
0.204,-0.174,1.042
-1.216,-0.680,-0.151
-1.198,-0.707,-0.167
-1.170,-0.763,-0.176
-1.129,-0.823,-0.179
-1.122,-0.907,-0.207
-1.091,-0.934,-0.222
-1.046,-0.982,-0.224
-1.024,-1.005,-0.211
-1.014,-1.018,-0.173
-0.998,-1.040,-0.118
-0.982,-1.055,-0.071
-0.970,-1.069,-0.040
-0.977,-1.043,0.045
-0.985,-1.026,0.144
-1.004,-0.989,0.203
-1.014,-0.984,0.246
-1.002,-0.966,0.274
-0.997,-0.995,0.116
-1.032,-0.960,0.250
-0.960,-1.029,0.123
-1.092,-1.167,0.150
-0.920,-0.908,0.200
-0.902,-1.056,0.024
-0.997,-1.013,0.010
-0.935,-1.034,0.020
-0.869,-1.118,-0.000
-0.857,-1.091,-0.040
-0.791,-1.035,-0.060
-0.711,-0.982,-0.082
-0.721,-0.776,-0.034
-0.748,-0.795,-0.076
-0.633,-0.832,-0.051
-0.551,-0.693,-0.071
-0.529,-0.705,0.054
-0.527,-0.700,0.160
-0.467,-0.633,0.220
-0.387,-0.581,0.260
-0.330,-0.579,0.316
-0.274,-0.511,0.355
-0.308,-0.449,0.374
-0.310,-0.294,0.432
-0.380,-0.142,0.528
-0.534,0.163,0.497
-0.644,0.255,0.509
-0.749,0.485,0.601
-0.832,0.578,0.588
-1.013,0.738,0.526
-1.176,0.877,0.484
-1.243,0.947,0.369
-1.355,0.979,0.225
-1.435,1.037,0.147
-1.463,1.064,-0.002
-1.496,1.060,-0.130
-1.508,1.066,-0.172
-1.523,1.104,-0.210
-1.526,1.125,-0.229
-1.551,1.163,-0.233
-1.565,1.204,-0.195
-1.565,1.222,-0.170
-1.534,1.205,-0.149
-1.491,1.166,-0.105
-1.468,1.089,-0.076
-1.395,1.048,-0.027
-1.337,0.954,-0.017
-1.297,0.873,-0.008
-1.225,0.827,-0.038
-1.146,0.727,-0.054
-1.107,0.647,-0.100
-1.024,0.614,-0.142
-0.935,0.542,-0.171
-0.768,0.452,-0.203
-0.810,0.404,-0.220
-0.748,0.317,-0.231
-0.682,0.269,-0.248
-0.676,0.281,-0.213
-0.712,0.277,-0.127
-0.674,0.227,-0.096
-0.681,0.215,-0.063
-0.717,0.204,-0.045
-0.747,0.203,0.003
-0.760,0.195,0.075
-0.803,0.182,0.095
-0.824,0.163,0.157
-0.858,0.159,0.225
-0.859,0.128,0.252
-0.861,0.121,0.288
-0.872,0.108,0.320
-0.856,0.103,0.330
-0.852,0.091,0.334
-0.890,0.092,0.345
-0.913,0.085,0.386
-0.925,0.078,0.411
-0.954,0.081,0.417
-0.975,0.074,0.428
-0.990,0.073,0.426
-1.018,0.077,0.422
-1.052,0.097,0.408
-1.070,0.117,0.375
-1.103,0.123,0.356
-1.110,0.122,0.308
-1.108,0.121,0.255
-1.088,0.115,0.233
-1.072,0.101,0.183
-1.048,0.101,0.134
-1.030,0.112,0.116
-1.025,0.118,0.080
-1.007,0.122,0.050
-0.985,0.100,0.036
-0.976,0.081,0.004
-0.957,0.063,-0.023
-0.940,0.035,-0.029
-0.936,0.027,-0.030
-0.941,0.024,-0.030
-0.958,0.037,-0.027
-0.962,0.048,-0.010
-0.973,0.051,0.006
-0.981,0.050,0.011
-0.983,0.047,0.027
-0.990,0.047,0.030
-1.070,-0.638,0.189
-1.068,-0.665,0.172
-1.068,-0.700,0.142
-1.061,-0.723,0.110
-1.055,-0.773,0.095
-1.052,-0.833,0.069
-1.047,-0.865,0.044
-1.036,-0.933,0.037
-1.032,-0.988,0.018
-1.017,-1.013,0.021
-1.017,-1.068,0.013
-1.007,-1.133,0.020
-0.995,-1.149,0.053
-0.993,-1.169,0.076
-0.994,-1.175,0.139
-0.999,-1.171,0.230
-1.006,-1.179,0.274
-0.991,-1.166,0.361
-1.027,-1.121,0.500
-0.923,-0.987,0.446
-0.965,-1.358,0.450
-1.000,-1.244,0.550
-0.907,-1.312,0.434
-0.833,-1.387,0.425
-0.776,-1.496,0.324
-0.754,-1.527,0.355
-0.695,-1.505,0.306
-0.627,-1.620,0.264
-0.439,-1.561,0.093
-0.419,-1.489,0.036
-0.405,-1.501,0.044
-0.309,-1.499,0.017
-0.204,-1.490,-0.013
-0.020,-1.448,-0.036
-0.107,-1.397,-0.007
-0.105,-1.314,0.037
-0.084,-1.259,0.138
-0.098,-1.158,0.298
-0.127,-1.151,0.494
-0.139,-1.165,0.622
-0.208,-0.904,0.985
-0.234,-0.777,1.166
-0.359,-0.534,1.207
-0.391,-0.172,1.240
-0.430,0.051,1.095
-0.612,0.501,0.938
-0.818,0.999,0.581
-0.924,1.271,0.107
-1.090,1.704,-0.157
-1.309,1.878,-0.622
-1.312,1.904,-0.894
-1.301,1.717,-0.989
-1.314,1.558,-0.974
-1.276,1.465,-0.691
-1.163,1.401,-0.528
-1.106,1.405,-0.299
-1.045,1.428,-0.082
-0.997,1.522,0.014
-1.024,1.638,0.041
-1.071,1.701,0.085
-1.205,1.790,0.050
-1.301,1.910,-0.015
-1.513,1.947,-0.085
-1.720,1.928,-0.142
-1.795,1.879,-0.255
-1.951,1.753,-0.347
-2.098,1.698,-0.175
-2.132,1.521,0.015
-2.126,1.469,0.161
-2.107,1.351,0.157
-1.906,1.148,0.217
-1.885,1.043,0.108
-1.747,0.849,0.054
-1.601,0.692,-0.027
-1.541,0.591,-0.160
-1.397,0.546,-0.288
-1.260,0.502,-0.351
-1.210,0.523,-0.398
-1.129,0.523,-0.395
-1.057,0.522,-0.354
-0.898,0.474,-0.229
-0.971,0.445,-0.105
-0.921,0.385,-0.042
-0.855,0.334,0.110
-0.819,0.246,0.243
-0.750,0.213,0.302
-0.695,0.116,0.373
-0.688,0.084,0.402
-0.702,0.101,0.423
-0.712,0.157,0.459
-0.731,0.177,0.455
-0.745,0.199,0.435
-0.747,0.204,0.383
-0.745,0.197,0.300
-0.749,0.193,0.264
-0.751,0.191,0.194
-0.740,0.184,0.126
-0.729,0.191,0.087
-0.722,0.203,0.024
-0.721,0.204,-0.041
-0.741,0.222,-0.073
-0.750,0.220,-0.120
-0.757,0.242,-0.177
-0.776,0.257,-0.207
-0.800,0.266,-0.212
-0.818,0.264,-0.213
-0.848,0.256,-0.207
-0.872,0.233,-0.205
-0.877,0.201,-0.173
-0.875,0.152,-0.139
-0.875,0.133,-0.121
-0.876,0.105,-0.078
-0.877,0.096,-0.037
-0.894,0.100,0.006
-0.919,0.119,0.047
-0.936,0.122,0.064
-0.941,0.101,0.082
-0.952,0.089,0.090
-0.950,0.066,0.086
-0.686,-0.460,0.852
-0.676,-0.460,0.869
-0.660,-0.464,0.877
-0.656,-0.472,0.875
-0.651,-0.477,0.870
-0.647,-0.486,0.858
-0.634,-0.489,0.844
-0.621,-0.494,0.834
-0.618,-0.495,0.811
-0.612,-0.490,0.794
-0.611,-0.478,0.789
-0.615,-0.477,0.777
-0.618,-0.477,0.763
-0.620,-0.478,0.756
-0.613,-0.470,0.744
-0.611,-0.460,0.726
-0.610,-0.445,0.716
-0.615,-0.419,0.696
-0.619,-0.398,0.694
-0.623,-0.391,0.701
-0.623,-0.371,0.703
-0.625,-0.348,0.709
-0.641,-0.333,0.719
-0.658,-0.300,0.728
-0.666,-0.282,0.751
-0.674,-0.280,0.776
-0.684,-0.277,0.784
-0.688,-0.265,0.806
-0.691,-0.264,0.812
-0.690,-0.265,0.814
-0.691,-0.267,0.813
-0.694,-0.266,0.800
-0.695,-0.259,0.792
-0.694,-0.251,0.782
-0.696,-0.237,0.772
-0.697,-0.224,0.755
-0.697,-0.222,0.741
-0.691,-0.219,0.733
-0.690,-0.206,0.713
-0.686,-0.203,0.712
-0.677,-0.206,0.706
-0.669,-0.213,0.705
-0.644,-0.218,0.708
-0.621,-0.228,0.711
-0.610,-0.223,0.724
-0.593,-0.219,0.743
-0.586,-0.213,0.755
-0.581,-0.219,0.791
-0.565,-0.224,0.823
-0.545,-0.242,0.837
-0.534,-0.258,0.856
-0.513,-0.264,0.866
-0.499,-0.276,0.869
-0.492,-0.283,0.875
-0.481,-0.284,0.885
-0.472,-0.281,0.889
-0.460,-0.277,0.894
-0.453,-0.270,0.905
-0.437,-0.269,0.910
-0.430,-0.269,0.914
-0.424,-0.274,0.917
-0.412,-0.275,0.921
-0.393,-0.281,0.924
-0.374,-0.285,0.926
-0.365,-0.293,0.929
-0.349,-0.293,0.933
-0.334,-0.299,0.935
-0.319,-0.303,0.937
-0.309,-0.305,0.935
-0.288,-0.307,0.933
-0.276,-0.299,0.932
-0.271,-0.293,0.936
-0.269,-0.290,0.945
-0.263,-0.293,0.953
-0.254,-0.293,0.955
-0.241,-0.291,0.957
-0.234,-0.288,0.952
-0.227,-0.286,0.949
-0.225,-0.279,0.940
-0.224,-0.274,0.944
-0.224,-0.258,0.951
-0.223,-0.243,0.957
-0.220,-0.239,0.968
-0.210,-0.239,0.978
-0.204,-0.238,0.984
-0.200,-0.244,0.993
-0.176,-0.254,1.005
-0.149,-0.277,1.007
-0.130,-0.303,1.008
-0.121,-0.318,1.008
-0.095,-0.325,1.006
-0.074,-0.334,1.006
-0.065,-0.341,1.002
-0.061,-0.341,1.001
-0.055,-0.345,1.003
-0.050,-0.347,1.006
-0.040,-0.347,1.008
-0.035,-0.342,1.007
-0.033,-0.341,1.005
-0.035,-0.341,1.002
-0.032,-0.342,1.002
-0.036,-0.342,0.989
-0.030,-0.331,0.985
-0.033,-0.330,0.980
-0.046,-0.318,0.974
-0.052,-0.299,0.976
-0.054,-0.294,0.979
-0.057,-0.289,0.980
-0.057,-0.288,0.985
-0.052,-0.288,0.991
-0.047,-0.288,0.995
-0.043,-0.292,0.995
-0.043,-0.294,0.995
-0.043,-0.294,0.994
-0.038,-0.293,0.995
-0.031,-0.305,0.993
-0.021,-0.320,0.988
-0.007,-0.323,0.981
-0.001,-0.326,0.978
-1.209,-0.708,0.121
-1.197,-0.756,0.121
-1.179,-0.780,0.131
-1.171,-0.825,0.131
-1.173,-0.846,0.132
-1.183,-0.851,0.128
-1.194,-0.848,0.128
-1.214,-0.831,0.128
-1.221,-0.807,0.128
-1.234,-0.793,0.126
-1.245,-0.771,0.130
-1.246,-0.769,0.131
-1.240,-0.768,0.115
-1.232,-0.775,0.099
-1.219,-0.800,0.056
-1.218,-0.836,0.009
-1.222,-0.838,0.000
-1.170,-0.899,-0.033
-1.190,-0.779,-0.031
-1.227,-0.806,-0.048
-1.241,-0.754,-0.020
-1.280,-0.608,0.042
-1.327,-0.552,0.067
-1.321,-0.521,0.103
-1.305,-0.552,0.098
-1.242,-0.566,0.070
-1.185,-0.577,0.042
-1.132,-0.669,-0.011
-0.981,-0.707,-0.011
-0.841,-0.783,-0.041
-0.763,-0.867,-0.030
-0.608,-0.921,0.020
-0.464,-1.034,0.046
-0.333,-1.109,0.143
-0.268,-1.137,0.273
-0.145,-1.137,0.331
-0.037,-1.075,0.449
0.002,-0.888,0.535
0.061,-0.815,0.511
-0.028,-0.560,0.709
-0.020,-0.310,0.638
0.088,-0.288,0.658
0.190,-0.100,0.642
0.148,-0.082,0.702
0.116,0.030,0.780
0.088,0.279,0.700
0.087,0.494,0.487
-0.042,1.127,0.349
-0.161,1.685,-0.036
-0.385,1.881,-0.320
-0.573,2.106,-0.415
-0.750,2.216,-0.588
-0.814,2.127,-0.666
-0.935,2.196,-0.516
-1.078,2.232,-0.544
-1.139,2.325,-0.438
-1.296,2.362,-0.420
-1.512,2.503,-0.386
-1.595,2.500,-0.539
-1.856,2.564,-0.455
-2.035,2.713,-0.344
-2.180,2.507,-0.314
-2.200,2.233,-0.364
-2.270,2.058,-0.446
-2.286,1.760,-0.503
-2.301,1.531,-0.628
-2.341,1.443,-0.755
-2.359,1.292,-0.816
-2.295,1.189,-0.931
-2.227,1.080,-1.008
-2.016,1.007,-1.067
-1.718,0.798,-1.088
-1.374,0.593,-1.072
-1.190,0.378,-0.986
-0.846,0.276,-0.858
-0.595,0.110,-0.785
-0.483,0.012,-0.613
-0.304,-0.004,-0.421
-0.202,0.004,-0.325
-0.183,0.019,-0.125
-0.166,0.030,0.071
-0.206,0.041,0.142
-0.374,0.104,0.282
-0.365,0.133,0.407
-0.495,0.195,0.450
-0.623,0.250,0.508
-0.671,0.261,0.533
-0.755,0.289,0.528
-0.787,0.333,0.463
-0.834,0.355,0.360
-0.842,0.365,0.304
-0.834,0.340,0.181
-0.809,0.320,0.041
-0.753,0.277,-0.026
-0.725,0.241,-0.148
-0.671,0.228,-0.250
-0.620,0.210,-0.300
-0.589,0.191,-0.391
-0.585,0.187,-0.478
-0.586,0.190,-0.512
-0.590,0.178,-0.558
-0.603,0.180,-0.588
-0.637,0.187,-0.587
-0.662,0.185,-0.556
-0.731,0.191,-0.497
-0.798,0.204,-0.460
-0.862,0.213,-0.396
-0.894,0.224,-0.322
-0.931,0.222,-0.150
-0.957,0.210,-0.175
-0.976,0.206,-0.091
-1.004,0.201,-0.049
-1.016,0.187,0.025
-1.025,0.184,0.075
-1.047,0.195,0.087
-1.061,0.222,0.105
-1.062,0.227,0.112
-1.046,0.216,0.107
-1.033,0.180,0.072
0.000,-0.893,1.121
-0.004,-0.915,1.100
-0.011,-0.922,1.075
-0.012,-0.940,1.062
-0.015,-0.962,1.036
-0.026,-0.971,0.996
-0.030,-0.984,0.982
-0.020,-1.002,0.968
-0.013,-1.013,0.944
0.002,-1.027,0.919
0.011,-1.041,0.906
0.015,-1.043,0.876
0.014,-1.039,0.846
0.007,-1.037,0.833
0.001,-1.046,0.807
-0.007,-1.052,0.778
-0.022,-1.064,0.762
-0.024,-1.065,0.727
-0.034,-1.070,0.680
-0.047,-1.084,0.661
-0.054,-1.091,0.613
-0.074,-1.090,0.569
-0.095,-1.087,0.553
-0.102,-1.062,0.520
-0.098,-1.041,0.479
-0.121,-1.026,0.469
-0.122,-1.033,0.459
-0.121,-1.017,0.449
-0.101,-1.011,0.444
-0.082,-0.999,0.444
-0.082,-0.995,0.448
-0.075,-0.990,0.458
-0.061,-0.956,0.465
-0.055,-0.905,0.471
-0.041,-0.874,0.488
-0.022,-0.783,0.502
-0.015,-0.656,0.531
0.003,-0.583,0.559
0.054,-0.424,0.575
0.083,-0.253,0.607
0.167,-0.178,0.650
0.276,-0.053,0.665
0.342,0.048,0.688
0.437,0.103,0.700
0.509,0.257,0.711
0.509,0.438,0.695
0.522,0.549,0.686
0.568,0.698,0.677
0.595,0.757,0.684
0.637,0.864,0.685
0.651,0.928,0.679
0.688,0.947,0.686
0.718,1.022,0.702
0.741,1.151,0.726
0.762,1.231,0.756
0.747,1.360,0.790
0.733,1.411,0.883
0.697,1.497,0.944
0.677,1.516,1.129
0.607,1.501,1.362
0.503,1.453,1.500
0.449,1.391,1.782
0.354,1.357,1.946
0.247,1.256,2.275
0.183,1.201,2.585
0.033,1.051,2.708
-0.152,0.858,2.928
-0.257,0.779,3.017
-0.387,0.791,3.042
-0.375,0.785,2.801
-0.498,0.659,2.639
-0.651,0.501,2.626
-0.709,0.457,2.441
-0.788,0.460,2.241
-0.828,0.484,2.159
-0.844,0.496,1.993
-0.871,0.503,1.816
-0.862,0.493,1.728
-0.834,0.478,1.561
-0.731,0.473,1.484
-0.580,0.458,1.317
-0.488,0.456,1.140
-0.277,0.413,1.049
-0.047,0.327,0.856
0.033,0.272,0.671
0.219,0.153,0.593
0.302,0.045,0.458
0.437,0.019,0.352
0.532,-0.107,0.305
0.557,-0.106,0.259
0.600,-0.169,0.218
0.603,-0.167,0.221
0.594,-0.200,0.213
0.562,-0.212,0.229
0.513,-0.207,0.249
0.492,-0.206,0.294
0.438,-0.203,0.346
0.375,-0.198,0.376
0.343,-0.182,0.439
0.281,-0.167,0.476
0.227,-0.134,0.540
0.204,-0.120,0.600
0.159,-0.095,0.630
0.119,-0.064,0.688
0.102,-0.039,0.750
0.037,-0.002,0.776
0.000,0.032,0.819
-0.008,0.079,0.838
-0.021,0.079,0.858
-0.032,0.035,0.930
-0.045,0.027,0.989
-0.018,0.006,1.014
-0.007,-0.010,1.051
0.017,-0.022,1.068
0.050,-0.046,1.096
0.069,-0.078,1.105
0.111,-0.099,1.101
0.151,-0.141,1.095
0.179,-0.161,1.077
0.130,-1.029,0.923
0.101,-0.959,0.895
0.067,-0.812,0.895
0.076,-0.862,0.925
