Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z
0.17,1.02,-0.06,-5.46,4.90,3.71
0.21,1.05,-0.07,-6.72,3.15,0.07
0.11,1.02,-0.19,2.45,-0.35,-0.91
0.12,0.97,-0.19,0.63,-0.07,-1.12
0.12,0.88,-0.16,-0.42,-0.07,-1.61
0.11,0.98,-0.18,2.73,-0.84,-2.73
0.08,0.98,-0.18,2.31,-1.05,-2.38
0.07,1.01,-0.20,2.10,-0.56,-1.96
0.07,0.96,-0.18,0.21,-0.63,-0.70
0.12,0.98,-0.15,-2.59,0.49,0.00
0.14,1.01,-0.14,-1.54,0.35,0.00
0.15,0.99,-0.16,3.78,-0.70,-2.38
0.09,0.98,-0.18,4.34,-2.10,-3.78
0.07,0.98,-0.17,2.10,-0.91,-2.66
0.05,0.99,-0.18,1.68,-0.28,-1.33
0.09,1.01,-0.17,2.03,-17.71,-0.49
0.10,0.99,-0.19,0.98,-0.35,-1.05
0.13,1.01,-0.16,-1.82,-0.07,-1.05
0.13,0.96,-0.15,-2.38,-0.56,-2.10
0.09,0.88,-0.13,-0.98,-0.70,-2.87
0.08,0.99,-0.13,-0.07,-0.56,-3.22
0.05,1.06,-0.14,4.13,-1.54,-3.36
0.06,1.04,-0.15,3.08,-0.35,-2.80
0.05,0.93,-0.15,1.61,-0.07,0.35
0.10,0.97,-0.14,0.42,0.35,0.00
0.13,0.94,-0.15,0.70,-0.28,-1.33
0.14,0.93,-0.14,0.49,-0.42,-2.66
0.10,0.99,-0.14,2.87,-0.77,-3.71
0.07,1.02,-0.18,5.95,-1.47,-3.57
0.03,0.94,-0.19,4.97,-1.19,-2.24
0.09,1.01,-0.17,-0.21,0.28,0.28
0.11,0.99,-0.19,0.42,0.49,-0.07
0.14,0.90,-0.17,0.84,-0.63,-1.54
0.12,0.94,-0.17,1.33,-0.63,-2.80
0.10,0.97,-0.17,2.38,-1.33,-3.08
0.09,0.95,-0.16,0.07,-1.33,-2.94
0.08,0.97,-0.14,-1.75,0.42,-1.96
0.10,0.99,-0.15,2.52,-0.77,-1.96
0.09,0.94,-0.18,4.83,-1.05,-3.36
0.09,0.97,-0.17,2.73,-0.14,-1.54
0.10,0.99,-0.18,2.10,-0.70,-0.91
0.13,0.97,-0.18,1.96,-0.56,-1.75
0.12,0.95,-0.18,0.35,-0.42,-2.80
0.12,0.98,-0.17,0.35,-1.26,-2.38
0.10,1.00,-0.16,0.28,-0.98,-2.52
0.10,0.95,-0.14,-0.70,-0.63,-2.38
0.07,0.90,-0.13,-0.77,-0.98,-2.94
0.07,0.94,-0.13,0.49,-1.05,-2.52
0.05,0.95,-0.14,3.50,-1.05,-2.80
0.05,0.94,-0.15,2.87,-0.63,-1.82
0.07,0.98,-0.14,1.96,-0.49,-1.26
0.10,0.92,-0.13,0.14,-0.35,-0.49
0.12,0.90,-0.12,-0.63,-0.35,-1.75
0.12,0.93,-0.12,0.28,-0.91,-3.22
0.09,1.01,-0.14,4.62,-1.68,-4.76
0.03,0.92,-0.15,4.27,-1.96,-4.48
0.02,0.92,-0.16,1.40,-0.14,-2.03
0.04,0.92,-0.16,1.61,-0.49,-0.84
0.10,0.97,-0.16,-0.21,0.07,-1.05
0.12,0.91,-0.14,0.56,-0.07,-1.54
0.15,0.97,-0.15,1.12,-0.77,-2.87
0.10,0.93,-0.16,2.87,-1.54,-4.13
0.08,0.92,-0.15,2.73,-1.89,-4.13
0.04,0.96,-0.18,3.50,-1.12,-3.36
0.05,0.99,-0.20,5.18,-0.84,-2.94
0.05,0.94,-0.21,2.45,-0.70,-2.10
0.09,0.96,-0.17,-2.94,0.42,-0.77
0.24,0.95,-0.16,-2.87,-0.07,-1.40
0.13,0.91,-0.14,-1.12,-0.98,-3.29
0.10,0.92,-0.14,-0.07,-1.05,-3.92
0.07,0.99,-0.13,1.26,-0.98,-4.27
0.04,0.99,-0.16,3.92,-1.26,-4.48
0.04,0.94,-0.15,2.87,-0.49,-2.80
0.06,1.06,-0.17,2.03,0.07,-1.96
0.08,0.98,-0.18,2.03,-0.91,-2.03
0.10,0.94,-0.18,-0.14,-0.49,-2.80
0.08,0.91,-0.16,-1.82,-0.91,-2.94
0.09,1.00,-0.15,-0.28,-1.33,-4.13
0.05,0.96,-0.15,0.14,-1.05,-3.43
0.06,1.03,-0.13,0.70,-0.28,-3.08
0.04,1.03,-0.15,2.52,-0.91,-2.31
0.09,0.98,-0.15,0.49,-0.42,-1.40
0.12,0.99,-0.14,0.21,0.35,-2.10
0.12,1.02,-0.15,1.96,-0.77,-2.45
0.09,0.99,-0.16,1.96,-1.12,-4.69
0.06,0.93,-0.17,2.38,-1.33,-4.27
0.02,0.98,-0.19,3.57,-1.12,-2.80
0.05,1.07,-0.18,1.96,-0.42,-2.52
0.06,1.00,-0.18,-0.14,-0.70,-1.82
0.10,0.93,-0.14,-5.53,0.56,0.00
0.13,0.99,-0.14,-2.31,0.63,-1.82
0.13,1.00,-0.15,2.73,-2.31,-4.83
0.08,1.02,-0.16,2.59,-1.12,-4.83
0.02,0.99,-0.16,2.10,-1.61,-4.20
0.04,0.99,-0.17,1.12,-0.84,-1.40
0.09,1.04,-0.16,0.00,0.63,0.07
0.13,1.08,-0.17,0.07,-0.14,-1.47
0.11,0.98,-0.19,3.64,-0.70,-4.34
0.08,0.96,-0.19,1.40,-1.96,-3.85
0.03,0.93,-0.18,-1.89,-1.40,-2.94
0.04,1.00,-0.13,-2.03,-0.56,-1.82
0.05,1.08,-0.15,-0.84,-0.21,-1.75
0.08,1.05,-0.15,2.03,-0.35,-1.89
0.06,0.98,-0.16,1.33,-0.49,-1.19
0.10,0.97,-0.14,-2.52,-0.42,-0.28
0.12,0.95,-0.13,-0.91,-0.35,-2.17
0.11,1.00,-0.13,0.63,-1.26,-3.15
0.05,1.02,-0.15,3.92,-1.89,-5.18
0.00,0.97,-0.16,5.88,-2.66,-4.06
0.00,0.99,-0.18,4.97,-0.70,-1.05
0.03,1.01,-0.16,-1.40,0.35,1.12
0.10,1.02,-0.15,-4.90,1.12,0.56
0.13,0.92,-0.13,-3.01,-0.70,-0.91
0.14,1.02,-0.13,0.42,-0.84,-2.45
0.08,1.03,-0.16,4.62,-2.24,-4.62
0.04,0.98,-0.15,2.94,-2.38,-3.64
0.02,0.96,-0.15,-0.98,-0.14,-0.98
0.07,1.05,-0.16,1.96,0.07,-0.84
0.07,1.02,-0.18,5.18,-0.98,-2.03
0.07,0.95,-0.18,3.57,-1.54,-2.17
0.05,0.87,-0.19,0.21,-1.61,-1.68
0.06,0.89,-0.16,-0.98,-1.12,-0.14
0.08,1.04,-0.14,-2.87,-0.63,-0.35
0.11,1.12,-0.12,-0.77,-0.56,-2.17
0.06,1.03,-0.15,5.11,-1.89,-3.15
0.05,0.96,-0.16,5.04,-1.89,-3.15
0.05,0.97,-0.18,1.47,-0.56,-0.42
0.08,0.95,-0.15,-0.49,-0.70,-1.12
0.09,0.96,-0.16,0.84,-1.19,-3.01
0.07,0.95,-0.15,1.33,-0.98,-1.89
0.06,1.04,-0.14,1.54,-1.40,-2.24
0.06,0.94,-0.15,3.08,-0.63,-1.75
0.07,1.00,-0.15,1.96,-0.49,-0.91
0.07,1.04,-0.16,1.47,-1.12,-2.59
0.08,0.99,-0.17,2.24,-2.17,-2.59
0.06,0.95,-0.17,2.10,-0.98,-1.33
0.10,1.05,-0.17,3.22,-1.19,-1.33
0.10,0.98,-0.19,2.73,-1.82,-2.10
0.10,0.89,-0.16,-1.82,-1.05,-1.54
0.08,0.92,-0.15,-1.54,-0.91,-1.89
0.08,0.99,-0.14,0.28,-1.82,-3.01
0.05,1.02,-0.14,2.59,-1.82,-3.92
