Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z
-1.52,-0.10,-0.20,33.04,-35.00,-29.54
-1.71,0.20,-0.13,45.71,-27.02,-34.30
-1.79,0.25,-0.12,24.15,-29.89,-45.22
-1.91,0.24,-0.06,6.58,-42.28,-51.03
-1.98,0.19,0.07,-1.54,-47.46,-58.03
-1.96,0.09,0.12,-9.24,-60.62,-61.88
-1.84,-0.14,0.11,10.22,-92.33,-64.68
-1.68,-0.28,0.09,38.01,-122.15,-59.64
-1.54,-0.36,0.05,54.25,-158.34,-55.93
-1.44,-0.30,0.14,48.16,-180.46,-55.51
-1.38,-0.20,0.18,35.14,-190.33,-46.20
-1.29,0.02,0.26,27.09,-179.90,-31.36
-1.32,0.11,0.25,42.70,-166.74,-13.58
-1.40,0.18,0.18,65.17,-196.98,18.97
-1.20,0.46,0.40,56.77,-192.43,81.34
-1.20,0.64,0.23,19.74,-192.64,145.60
-1.23,0.81,0.17,-25.97,-212.66,139.65
-0.91,0.74,0.17,-58.24,-180.46,146.16
-1.08,0.48,-0.10,-4.69,-161.35,141.68
-1.22,0.71,-0.37,-52.57,-144.90,136.64
-1.33,0.57,-0.41,-148.33,-145.74,135.24
-1.44,0.74,-0.75,-271.46,-164.57,139.93
-1.21,0.35,-1.02,-287.91,-196.07,109.97
-0.84,-0.15,-0.17,-284.90,-203.56,80.85
-0.59,-0.30,0.63,-215.04,-182.77,70.98
-0.45,-0.06,1.08,-94.64,-208.53,46.55
-0.58,-0.25,0.75,-152.53,-218.96,18.55
-0.81,-0.69,-0.04,-250.04,-186.76,-7.21
-0.45,-0.77,-0.28,-233.38,-176.54,-2.31
-0.54,-0.28,0.22,-151.62,-155.89,-22.47
-0.40,-0.25,0.38,-59.99,-163.10,-16.03
-0.47,-0.02,0.41,6.16,-171.43,-3.92
-0.64,0.44,0.46,5.81,-152.04,-13.65
-0.54,0.11,0.29,-28.70,-151.27,-13.37
-0.42,0.02,0.39,-42.63,-133.77,-18.41
-0.32,-0.15,0.18,-59.71,-122.29,-29.12
-0.04,-0.29,0.19,-65.03,-118.65,-7.42
-0.07,0.04,0.30,-44.87,-100.59,-13.72
-0.13,0.10,0.32,-38.99,-83.79,-19.53
-0.16,0.09,0.41,-34.16,-63.56,-21.21
-0.07,-0.04,0.40,-45.92,-44.59,-21.91
0.01,-0.08,0.39,-41.86,-30.45,-17.78
0.01,-0.15,0.34,-36.75,-12.46,-13.86
0.08,-0.26,0.35,-0.84,4.69,-11.55
0.14,-0.35,0.53,15.89,23.45,-5.60
0.13,-0.20,0.79,59.71,52.57,-1.26
0.16,-0.24,0.97,102.48,78.82,18.13
0.15,-0.09,1.03,160.51,90.93,24.43
-0.10,0.29,0.71,202.86,122.08,23.52
-0.04,-0.16,0.12,189.70,93.03,12.81
-0.58,0.18,0.82,178.50,35.77,-18.97
-1.01,0.31,1.18,122.78,70.28,3.99
-1.59,-0.19,1.67,74.90,58.17,-0.98
-1.74,0.36,1.52,94.78,38.43,34.30
-1.99,1.06,0.85,96.11,100.31,51.45
-2.04,0.93,0.84,38.29,108.57,37.31
-1.38,0.47,0.82,-20.65,56.42,38.08
-0.53,0.13,0.27,21.77,94.50,39.83
-0.27,-0.17,0.43,18.69,97.09,32.06
-0.46,-0.27,0.71,38.64,97.30,17.99
-0.61,-0.17,0.67,29.19,100.03,-4.97
-0.78,-0.12,0.35,30.38,105.21,-20.93
-0.81,-0.03,0.39,47.53,106.82,-37.73
-0.83,0.12,0.47,57.54,116.27,-50.26
-0.93,0.26,0.46,61.32,120.61,-57.75
-1.04,0.33,0.44,56.21,116.34,-62.79
-1.06,0.30,0.44,53.27,112.00,-67.20
-1.02,0.28,0.40,48.72,110.32,-70.07
-0.99,0.17,0.30,54.88,114.59,-71.19
-0.94,0.21,0.31,58.94,118.23,-64.40
-0.88,0.20,0.26,64.05,123.90,-61.32
-0.83,0.19,0.28,75.74,123.20,-53.90
-0.81,0.28,0.29,61.39,116.90,-42.63
-0.78,0.28,0.34,58.87,117.60,-37.73
-0.82,0.35,0.33,70.28,121.24,-39.69
-0.90,0.39,0.27,63.28,115.29,-38.71
-0.98,0.33,0.26,65.59,112.98,-46.90
