Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z
-0.05,-0.77,0.72,-42.63,11.06,13.30
-0.05,-0.77,0.70,-40.60,6.86,13.93
-0.05,-0.77,0.69,-42.42,3.85,12.88
-0.07,-0.77,0.66,-41.93,-2.03,13.23
-0.07,-0.78,0.64,-40.04,-4.55,11.90
-0.07,-0.79,0.63,-35.91,-4.62,9.59
-0.05,-0.79,0.64,-34.65,0.56,9.73
-0.05,-0.79,0.65,-38.78,4.20,10.01
-0.05,-0.78,0.64,-43.61,6.72,10.36
-0.05,-0.82,0.66,-41.86,0.63,14.35
-0.03,-0.74,0.71,-27.65,-16.94,17.92
0.00,-0.83,0.70,-41.37,-9.24,5.04
-0.06,-0.83,0.62,-35.98,-7.56,11.62
-0.10,-0.86,0.48,-14.77,8.33,9.45
-0.14,-0.86,0.51,-3.22,5.88,0.91
-0.12,-0.85,0.55,-7.98,6.09,-6.30
-0.08,-0.83,0.60,-13.65,15.40,-5.25
-0.06,-0.82,0.61,-16.66,24.08,0.49
-0.06,-0.79,0.60,-16.31,30.17,5.60
-0.09,-0.76,0.65,-39.34,20.16,14.63
-0.05,-0.84,0.64,-35.98,13.58,19.67
-0.06,-0.83,0.63,-23.24,15.61,16.10
-0.06,-0.85,0.61,-14.77,15.33,10.50
-0.04,-0.85,0.62,-9.10,22.33,9.24
-0.06,-0.85,0.62,-7.77,25.90,10.15
-0.08,-0.84,0.59,-5.39,25.13,9.17
-0.09,-0.87,0.58,5.11,25.62,6.72
-0.09,-0.87,0.59,14.63,26.88,6.51
-0.11,-0.87,0.60,22.19,24.78,6.02
-0.14,-0.95,0.51,24.71,14.84,14.28
-0.11,-0.76,0.58,11.48,5.53,8.40
-0.10,-0.79,0.55,-10.36,1.40,7.56
-0.10,-0.78,0.60,-18.48,-0.35,6.86
-0.13,-0.81,0.62,-18.69,-5.32,5.25
-0.13,-0.79,0.64,-8.40,-14.98,6.44
-0.11,-0.77,0.67,-4.06,-20.51,2.45
-0.10,-0.80,0.65,-1.68,-23.66,-3.29
-0.11,-0.85,0.63,-2.66,-25.34,-5.60
-0.10,-0.88,0.61,-0.14,-22.68,-4.97
-0.13,-0.93,0.62,13.51,-23.59,-4.34
-0.10,-0.79,0.63,11.13,-16.94,-2.94
-0.10,-0.84,0.55,-0.35,-16.24,-1.47
-0.09,-0.87,0.57,3.50,-13.02,2.17
-0.09,-0.83,0.58,-0.14,-12.67,0.91
-0.06,-0.83,0.59,-2.17,-3.92,1.61
-0.08,-0.81,0.56,-4.34,-0.35,1.26
-0.10,-0.81,0.59,-3.92,-3.08,0.63
-0.09,-0.81,0.62,-0.84,-4.55,0.77
-0.10,-0.82,0.61,2.80,-4.62,-0.42
-0.07,-0.82,0.61,4.06,-2.24,-1.05
-0.10,-0.85,0.57,3.22,-1.61,-2.38
-0.09,-0.85,0.57,1.96,-0.70,-2.94
-0.09,-0.83,0.56,-1.47,-1.82,-2.66
-0.09,-0.83,0.58,-1.33,-4.48,-3.36
-0.08,-0.82,0.58,1.61,-8.47,-4.62
-0.07,-0.83,0.58,1.89,-6.65,-4.41
-0.08,-0.83,0.56,0.49,-2.80,-2.73
-0.09,-0.83,0.56,-1.33,-1.89,-2.03
-0.08,-0.81,0.58,-1.05,-1.47,-1.68
-0.08,-0.80,0.62,-1.61,-2.59,-2.10
-0.08,-0.83,0.63,0.98,-1.12,-2.52
-0.10,-0.85,0.62,2.59,-1.33,-1.68
-0.08,-0.85,0.61,4.48,-0.07,-1.33
-0.08,-0.83,0.59,3.64,1.12,-1.96
-0.09,-0.83,0.60,0.98,1.19,-1.89
-0.08,-0.84,0.60,-3.64,3.85,-1.47
-0.08,-0.83,0.58,-5.53,3.85,-1.47
-0.10,-0.83,0.58,-5.18,0.84,-2.80
-0.09,-0.85,0.58,-6.51,2.59,-1.75
-0.10,-0.83,0.58,-7.07,2.59,-1.33
-0.10,-0.81,0.61,-5.67,1.19,-3.29
-0.08,-0.80,0.63,-4.83,1.61,-4.97
-0.09,-0.81,0.64,2.17,-0.35,-8.89
-0.09,-0.84,0.62,8.82,-2.87,-11.83
-0.09,-0.83,0.60,11.41,-2.73,-14.35
-0.09,-0.83,0.59,12.39,-1.05,-16.87
-0.07,-0.84,0.57,9.87,-1.82,-14.63
-0.08,-0.84,0.56,9.80,-0.07,-13.09
-0.09,-0.83,0.58,9.66,-0.35,-11.83
-0.09,-0.83,0.59,6.16,-1.12,-11.06
-0.09,-0.83,0.59,2.17,-0.70,-9.80
-0.07,-0.83,0.59,-0.14,0.63,-7.98
-0.07,-0.84,0.59,-1.12,2.66,-6.44
-0.08,-0.83,0.58,-0.56,3.99,-4.83
-0.06,-0.81,0.60,-0.56,5.32,-4.76
-0.07,-0.81,0.60,1.40,5.11,-5.60
-0.07,-0.84,0.59,2.59,4.34,-6.02
-0.07,-0.84,0.60,2.94,4.27,-6.02
-0.07,-0.85,0.61,3.50,3.36,-6.37
-0.06,-0.85,0.63,5.53,3.22,-6.58
-0.07,-0.84,0.63,7.91,2.80,-6.79
-0.07,-0.86,0.65,13.16,3.57,-7.42
-0.07,-0.82,0.62,17.57,5.81,-7.91
-0.08,-0.78,0.63,25.97,12.39,-9.73
-0.07,-0.72,0.63,27.72,20.16,-14.98
-0.06,-0.85,0.60,27.09,24.08,-15.61
-0.03,-0.91,0.58,26.81,23.94,-11.69
-0.03,-0.99,0.54,23.03,14.42,-9.17
0.00,-1.05,0.54,28.42,12.60,1.89
-0.03,-0.87,0.59,28.42,17.29,8.33
-0.07,-0.77,0.63,24.43,19.25,9.73
-0.08,-0.75,0.67,29.19,15.05,10.99
-0.11,-0.70,0.72,40.81,10.15,3.99
-0.11,-0.74,0.72,52.99,7.28,-1.40
-0.14,-0.79,0.65,61.67,5.46,-3.29
-0.07,-0.75,0.70,64.47,14.00,-3.50
-0.10,-0.68,0.63,71.19,16.03,-9.45
-0.11,-0.70,0.65,72.24,13.79,-14.14
-0.12,-0.79,0.69,66.08,10.15,-8.33
-0.10,-0.73,0.65,53.97,2.45,-15.82
-0.10,-0.76,0.64,45.99,-2.38,-18.69
-0.08,-0.74,0.67,42.07,-2.87,-16.38
-0.09,-0.75,0.69,44.24,-2.87,-16.87
-0.10,-0.74,0.71,45.08,-3.36,-17.01
-0.09,-0.75,0.73,47.46,-3.57,-15.33
-0.09,-0.75,0.77,46.55,-2.17,-10.36
-0.07,-0.66,0.80,43.05,7.07,-10.92
-0.10,-0.69,0.75,38.08,9.10,-10.64
-0.11,-0.72,0.71,44.94,11.27,-10.50
-0.08,-0.70,0.70,46.83,14.00,-9.17
-0.10,-0.71,0.72,48.51,13.09,-9.87
-0.09,-0.68,0.75,42.63,17.99,-8.68
-0.10,-0.68,0.73,46.90,20.09,-5.46
-0.03,-0.72,0.69,110.53,51.94,15.89
-0.09,-0.55,0.86,136.99,83.37,-8.26
-0.23,-0.66,0.77,105.56,63.14,-15.75
-0.19,-0.67,0.79,61.81,17.92,-3.08
-0.18,-0.67,0.77,32.48,14.21,-2.87
-0.18,-0.65,0.75,26.53,6.16,-10.99
-0.19,-0.64,0.79,27.30,7.56,-22.96
-0.14,-0.60,0.83,34.23,32.13,-30.10
-0.12,-0.52,0.70,87.71,88.83,-40.95
-0.20,-0.60,0.58,99.47,94.64,-44.73
-0.18,-0.64,0.60,86.38,70.63,-31.22
-0.21,-0.65,0.63,63.77,43.82,-18.90
-0.22,-0.64,0.75,55.37,28.84,-13.79
-0.18,-0.59,0.85,31.92,23.59,-3.92
-0.24,-0.64,0.77,18.41,8.40,-3.22
-0.27,-0.69,0.79,26.95,4.27,-4.62
-0.27,-0.66,0.81,33.67,5.95,-8.82
-0.29,-0.65,0.80,39.62,7.70,-16.94
-0.26,-0.62,0.82,43.33,7.42,-20.65
-0.23,-0.56,0.81,40.53,9.73,-25.48
-0.22,-0.54,0.83,39.83,9.52,-29.89
-0.19,-0.55,0.82,37.73,16.94,-30.59
-0.17,-0.51,0.84,33.53,22.68,-35.42
-0.19,-0.53,0.84,27.02,32.69,-30.03
