Time, Accel_x, Accel_y, Accel_z, Gyr_x, Gyr_y, Gyr_z, Label
33:0:72, -0.66, 0.39, 0.10, -116.48, -3.08, 3.71
33:0:72, -0.90, 0.29, -0.18, -118.16, 33.81, 10.85
33:0:72, -0.67, 0.34, -0.09, -80.57, 57.68, 12.67
33:0:72, -0.62, 0.31, 0.02, -17.36, 57.26, 2.17
33:0:72, -0.69, 0.23, 0.55, 9.59, 47.53, -10.01
33:0:72, -0.89, 0.12, 1.01, 9.59, 33.88, -10.36
33:0:72, -1.36, 0.18, 1.19, 17.99, 29.89, -3.29
33:0:72, -1.87, 0.33, 0.72, 28.00, 15.89, 12.11
33:0:72, -1.88, 0.49, 0.79, 36.61, -25.27, 25.27
33:0:72, -1.25, 0.32, 0.71, 62.65, -58.17, 16.87
33:0:72, -1.17, 0.29, 0.78, 55.58, -86.17, 11.97
33:0:72, -1.09, 0.09, 0.89, 26.88, -111.86, 9.24
33:0:72, -0.96, -0.21, 0.86, 9.45, -139.58, 2.38
33:0:72, -1.04, -0.36, 0.52, 4.90, -167.44, 4.20
33:0:72, -0.99, -0.16, 0.38, 4.69, -189.28, 0.91
33:0:72, -1.00, 0.17, 0.29, -24.22, -203.77, 10.15
33:0:72, -0.90, 0.35, 0.11, -60.41, -204.12, 22.54
33:0:72, -0.90, 0.46, -0.02, -94.50, -200.83, 25.41
33:0:72, -1.05, 0.57, -0.14, -105.42, -185.22, 27.37
33:0:72, -1.05, 0.66, -0.40, -138.25, -162.82, 26.88
33:0:72, -0.85, 0.47, -0.42, -136.43, -143.50, 31.01
33:0:72, -0.50, 0.41, 0.03, -108.85, -117.60, 26.46
33:0:72, -0.22, 0.20, 0.31, -95.55, -90.86, 15.26
33:0:72, -0.05, -0.11, 0.04, -92.12, -55.44, -7.21
33:0:72, -0.16, -0.14, 0.04, -73.78, -32.41, -32.06
33:0:72, -0.30, -0.16, 0.16, -66.15, -5.04, -48.02
33:0:72, -0.25, -0.29, 0.23, -41.16, 24.71, -57.89
33:0:72, -0.30, -0.64, 0.29, 10.36, 37.17, -43.61
33:0:72, -0.30, -0.41, 0.51, 47.04, 71.05, -31.01
33:0:72, -0.56, -0.08, 0.45, 62.51, 95.76, -16.45
33:0:72, -0.86, 0.02, 0.40, 87.57, 108.15, -2.80
33:0:72, -0.85, 0.34, 0.45, 86.66, 132.37, 5.67
33:0:72, -0.81, 0.40, 0.39, 93.03, 155.89, 6.37
33:0:72, -0.62, -0.01, 0.39, 97.72, 174.58, -0.35
33:0:72, -0.54, 0.08, 0.48, 93.10, 177.66, -10.43
33:0:72, -0.45, 0.06, 0.56, 95.48, 181.16, -24.01
33:0:72, -0.38, 0.20, 0.48, 72.80, 186.13, -26.53
33:0:72, -0.52, 0.17, 0.38, 51.87, 181.93, -21.70
33:0:72, -0.64, 0.24, 0.40, 68.32, 177.17, -11.13
33:0:72, -0.89, 0.27, 0.46, 81.69, 173.25, -15.68
33:0:72, -1.40, 0.48, 0.55, 114.52, 157.85, -16.94
33:0:72, -1.58, 0.70, 0.65, 122.22, 134.89, -9.31
33:0:72, -1.55, 1.08, 0.90, 101.64, 110.74, 10.22
33:0:72, -1.17, 1.03, 0.80, 95.06, 64.75, 28.42
33:0:72, -0.95, 1.07, 0.32, 130.62, 38.92, 29.05
33:0:72, -0.66, 0.86, -0.74, 112.91, 35.00, 38.15
33:0:72, -0.71, 0.36, -0.89, 70.91, 32.97, 29.68
33:0:72, -0.92, 0.10, -0.38, 47.46, 36.75, 9.10
33:0:72, -1.26, 0.53, 1.26, -63.21, -39.48, -19.04
33:0:72, -1.17, 0.02, 0.80, -192.29, -8.05, -65.87
33:0:72, -1.25, -0.97, -0.08, -98.91, 7.84, -12.46
33:0:72, -1.93, -0.13, 0.79, -91.91, -21.91, -2.66
33:0:72, -2.12, -0.23, 1.16, -125.58, -81.20, -10.01
33:0:72, -2.20, 0.16, 1.00, -37.73, -88.97, 15.19
33:0:72, -1.51, 0.80, -0.00, 69.58, -77.56, 38.01
33:0:72, -0.75, 0.43, -0.64, 36.33, -100.03, 33.67
33:0:72, -0.33, 0.24, 0.01, 4.34, -95.48, 14.70
33:0:72, -0.28, 0.18, 0.06, -12.88, -61.95, 10.22
33:0:72, -0.29, 0.15, 0.23, -45.78, -13.51, 20.09
33:0:72, -0.64, 0.27, 0.16, -51.31, 26.46, 10.92
33:0:72, -1.06, 0.46, 0.32, -57.19, 49.91, 11.97
33:0:72, -1.48, 0.65, 0.42, -18.90, 58.31, 15.19
33:0:72, -1.47, 0.66, 0.31, 26.88, 33.25, 17.43
33:0:72, -1.33, 0.44, 0.41, 15.40, 13.93, 14.77
33:0:72, -1.00, 0.20, 0.50, -16.03, 2.80, 5.74
33:0:72, -0.80, 0.20, 0.46, -37.03, 7.35, -2.87
33:0:72, -0.74, 0.15, 0.45, -24.71, 5.60, -12.11
33:0:72, -0.78, 0.15, 0.54, -6.72, 3.36, -17.78
33:0:72, -0.75, 0.10, 0.50, 11.97, 15.54, -18.20
33:0:72, -0.87, 0.14, 0.54, 26.74, 9.24, -18.27
33:0:72, -1.05, 0.23, 0.67, 36.68, -7.77, -20.02
33:0:72, -1.27, 0.24, 0.66, 41.72, -44.45, -19.74
33:0:72, -1.25, 0.23, 0.73, 31.01, -80.22, -14.00
33:0:72, -1.23, 0.29, 0.78, 16.38, -120.05, -4.48
33:0:72, -1.31, 0.27, 0.84, -21.56, -162.89, 6.09
33:0:72, -1.27, 0.14, 0.69, -50.68, -183.96, 12.04
33:0:72, -1.15, 0.13, 0.42, -65.73, -196.00, 17.99
33:0:72, -0.98, 0.22, 0.23, -89.32, -197.75, 20.51
33:0:72, -0.90, 0.30, 0.17, -109.27, -195.09, 25.62
33:0:72, -0.92, 0.44, 0.04, -100.66, -170.31, 36.82
