Time, Accel_x, Accel_y, Accel_z, Gyr_x, Gyr_y, Gyr_z, Label
33:0:72, -1.52, -0.10, -0.20, 33.04, -35.00, -29.54
33:0:72, -1.71, 0.20, -0.13, 45.71, -27.02, -34.30
33:0:72, -1.79, 0.25, -0.12, 24.15, -29.89, -45.22
33:0:72, -1.91, 0.24, -0.06, 6.58, -42.28, -51.03
33:0:72, -1.98, 0.19, 0.07, -1.54, -47.46, -58.03
33:0:72, -1.96, 0.09, 0.12, -9.24, -60.62, -61.88
33:0:72, -1.84, -0.14, 0.11, 10.22, -92.33, -64.68
33:0:72, -1.68, -0.28, 0.09, 38.01, -122.15, -59.64
33:0:72, -1.54, -0.36, 0.05, 54.25, -158.34, -55.93
33:0:72, -1.44, -0.30, 0.14, 48.16, -180.46, -55.51
33:0:72, -1.38, -0.20, 0.18, 35.14, -190.33, -46.20
33:0:72, -1.29, 0.02, 0.26, 27.09, -179.90, -31.36
33:0:72, -1.32, 0.11, 0.25, 42.70, -166.74, -13.58
33:0:72, -1.40, 0.18, 0.18, 65.17, -196.98, 18.97
33:0:72, -1.20, 0.46, 0.40, 56.77, -192.43, 81.34
33:0:72, -1.20, 0.64, 0.23, 19.74, -192.64, 145.60
33:0:72, -1.23, 0.81, 0.17, -25.97, -212.66, 139.65
33:0:72, -0.91, 0.74, 0.17, -58.24, -180.46, 146.16
33:0:72, -1.08, 0.48, -0.10, -4.69, -161.35, 141.68
33:0:72, -1.22, 0.71, -0.37, -52.57, -144.90, 136.64
33:0:72, -1.33, 0.57, -0.41, -148.33, -145.74, 135.24
33:0:72, -1.44, 0.74, -0.75, -271.46, -164.57, 139.93
33:0:72, -1.21, 0.35, -1.02, -287.91, -196.07, 109.97
33:0:72, -0.84, -0.15, -0.17, -284.90, -203.56, 80.85
33:0:72, -0.59, -0.30, 0.63, -215.04, -182.77, 70.98
33:0:72, -0.45, -0.06, 1.08, -94.64, -208.53, 46.55
33:0:72, -0.58, -0.25, 0.75, -152.53, -218.96, 18.55
33:0:72, -0.81, -0.69, -0.04, -250.04, -186.76, -7.21
33:0:72, -0.45, -0.77, -0.28, -233.38, -176.54, -2.31
33:0:72, -0.54, -0.28, 0.22, -151.62, -155.89, -22.47
33:0:72, -0.40, -0.25, 0.38, -59.99, -163.10, -16.03
33:0:72, -0.47, -0.02, 0.41, 6.16, -171.43, -3.92
33:0:72, -0.64, 0.44, 0.46, 5.81, -152.04, -13.65
33:0:72, -0.54, 0.11, 0.29, -28.70, -151.27, -13.37
33:0:72, -0.42, 0.02, 0.39, -42.63, -133.77, -18.41
33:0:72, -0.32, -0.15, 0.18, -59.71, -122.29, -29.12
33:0:72, -0.04, -0.29, 0.19, -65.03, -118.65, -7.42
33:0:72, -0.07, 0.04, 0.30, -44.87, -100.59, -13.72
33:0:72, -0.13, 0.10, 0.32, -38.99, -83.79, -19.53
33:0:72, -0.16, 0.09, 0.41, -34.16, -63.56, -21.21
33:0:72, -0.07, -0.04, 0.40, -45.92, -44.59, -21.91
33:0:72, 0.01, -0.08, 0.39, -41.86, -30.45, -17.78
33:0:72, 0.01, -0.15, 0.34, -36.75, -12.46, -13.86
33:0:72, 0.08, -0.26, 0.35, -0.84, 4.69, -11.55
33:0:72, 0.14, -0.35, 0.53, 15.89, 23.45, -5.60
33:0:72, 0.13, -0.20, 0.79, 59.71, 52.57, -1.26
33:0:72, 0.16, -0.24, 0.97, 102.48, 78.82, 18.13
33:0:72, 0.15, -0.09, 1.03, 160.51, 90.93, 24.43
33:0:72, -0.10, 0.29, 0.71, 202.86, 122.08, 23.52
33:0:72, -0.04, -0.16, 0.12, 189.70, 93.03, 12.81
