Time, Accel_x, Accel_y, Accel_z, Gyr_x, Gyr_y, Gyr_z, Label
33:0:72, -1.32, 0.37, 0.06, -90.23, -185.99, -37.52
33:0:72, -1.91, -0.24, -0.24, -193.20, -85.96, -4.41
33:0:72, -1.25, 0.49, 0.09, -176.19, -37.38, 4.69
33:0:72, -0.67, 0.77, 0.19, -167.37, -12.88, -18.06
33:0:72, -0.82, 0.63, 0.65, -108.29, -33.11, -44.94
33:0:72, -0.88, 0.53, 0.25, -102.55, -17.08, -86.38
33:0:72, -0.93, -0.19, -0.10, -140.00, -36.47, -122.85
33:0:72, -0.96, 0.57, -0.37, -109.48, 3.50, -115.43
33:0:72, -0.58, 0.96, 0.08, -38.99, 46.76, -80.29
33:0:72, -0.53, 0.84, -0.03, 33.25, 84.98, -33.32
33:0:72, -0.79, 0.51, 0.13, 53.83, 139.65, -17.71
33:0:72, -0.56, 0.15, 0.10, 39.69, 272.09, -31.99
33:0:72, -0.77, 0.14, 0.05, 84.70, 270.20, -49.63
33:0:72, -0.93, 0.11, 0.30, 68.32, 90.37, -64.26
33:0:72, -0.96, 0.42, 0.22, 21.07, -52.01, -36.19
33:0:72, -0.57, 0.30, -0.02, -21.77, -115.85, -58.45
33:0:72, -0.47, 0.47, -0.87, 89.88, 11.55, -116.76
33:0:72, -1.36, 0.22, -0.18, 109.13, 21.07, -72.87
33:0:72, -0.77, 0.37, -0.27, 177.73, 39.20, -44.31
33:0:72, -0.84, 0.49, -0.01, 184.17, 28.63, -39.27
33:0:72, -0.99, 0.41, 0.00, 160.93, 29.47, -15.82
33:0:72, -0.99, 0.66, -0.02, 148.12, 17.85, -34.86
33:0:72, -1.09, 0.58, 0.04, 121.87, -2.59, -8.61
33:0:72, -0.96, 0.59, 0.02, 111.51, -29.12, 0.14
33:0:72, -0.82, 0.49, 0.12, 108.50, -72.38, -2.59
33:0:72, -0.54, 0.50, 0.00, 122.99, -170.52, -5.46
33:0:72, -0.81, 0.46, -0.08, 152.04, -264.60, 15.19
33:0:72, -1.16, 0.43, -0.15, 165.13, -254.87, -40.25
33:0:72, -1.38, -0.09, -0.56, 141.89, -267.12, -66.29
33:0:72, -1.55, 0.38, -0.64, 65.10, -244.93, -91.77
33:0:72, -1.61, 0.46, -0.30, 25.20, -217.49, -90.23
33:0:72, -1.71, 1.09, -0.21, 16.80, -195.86, -75.67
33:0:72, -1.71, 1.09, 0.12, 3.08, -187.46, -62.58
33:0:72, -1.82, 0.45, 0.53, 75.46, -172.27, 3.01
33:0:72, -1.45, 0.90, 0.21, 11.34, -209.79, -12.32
33:0:72, -1.47, 0.29, 0.22, 32.90, -199.99, 15.33
33:0:72, -1.49, -0.28, 0.51, 34.65, -134.89, 79.73
33:0:72, -0.21, -0.34, -0.45, 33.88, -178.08, 252.42
33:0:72, -0.84, -0.34, 0.48, -5.88, -215.74, 245.84
33:0:72, -1.48, 0.35, 0.19, 113.05, -170.80, 248.22
33:0:72, -1.30, 0.31, 0.50, 90.72, -149.45, 201.18
33:0:72, -1.07, 0.11, 0.58, 68.39, -176.33, 208.88
33:0:72, -0.90, 0.51, 0.59, 26.39, -205.73, 206.85
33:0:72, -0.96, 0.72, 0.89, 11.62, -168.35, 224.35
33:0:72, -1.02, -0.24, 0.79, 17.85, -164.43, 259.28
33:0:72, -0.81, 0.23, 0.65, -15.75, -103.74, 67.41
33:0:72, -0.85, -0.38, 0.73, -47.18, -64.96, 69.72
33:0:72, -0.32, 0.14, 1.29, -160.44, 11.55, -27.30
33:0:72, -1.22, -2.00, 0.52, -280.00, -107.03, -10.22
33:0:72, -0.44, 0.06, 0.21, -349.65, -88.34, -6.23
33:0:72, -0.44, 0.68, 0.60, -356.93, -58.45, 18.97
33:0:72, -0.05, 0.83, 0.47, -323.05, -111.23, 32.20
33:0:72, -0.30, 0.96, 1.01, -309.82, -132.72, 40.88
33:0:72, -1.26, 2.91, 1.32, -96.95, -10.92, -170.87
33:0:72, -0.19, -0.06, -0.09, -21.84, 119.91, -215.81
33:0:72, 0.24, -0.10, 1.11, -42.70, -35.28, -161.91
33:0:72, -0.49, 0.63, 1.34, -123.48, -42.42, -93.45
33:0:72, -0.62, -0.07, 0.91, 35.49, 78.19, -212.38
33:0:72, -0.25, -2.65, 0.01, 163.66, 16.80, -241.78
33:0:72, -0.37, 0.70, -0.64, 87.50, -248.36, -326.90
33:0:72, 0.70, -1.01, 2.24, 160.37, -46.62, -342.93
33:0:72, -0.62, 2.34, 1.53, 108.36, 161.42, -373.45
33:0:72, -1.79, 2.18, 0.74, -125.58, 49.63, -213.08
33:0:72, -1.24, -0.06, -0.15, -160.37, -80.36, -26.60
33:0:72, -0.54, -0.11, 0.31, -53.48, 20.93, -98.07
33:0:72, -0.93, 0.45, 0.01, 27.09, -5.11, -144.41
33:0:72, -0.80, 0.80, 0.32, 133.21, 0.63, -204.26
33:0:72, -0.56, 0.61, 0.29, 249.97, -10.08, -198.59
33:0:72, -0.48, 0.18, 0.42, 315.84, -5.67, -162.75
33:0:72, -0.73, 0.32, 0.87, 312.83, -16.38, -129.57
33:0:72, -0.67, -0.06, 1.49, 198.52, 44.87, 5.74
33:0:72, -1.05, 0.11, 1.24, -54.67, 48.30, 106.61
33:0:72, -1.67, -0.14, 0.82, -157.36, -5.39, 88.76
33:0:72, -1.53, -0.61, 0.72, -174.86, -119.07, 74.48
33:0:72, -1.17, -0.55, 0.59, -171.43, -142.31, 83.02
33:0:72, -0.97, -0.54, 0.38, -131.81, -65.59, 85.40
33:0:72, -1.08, -0.56, 0.58, -89.32, 9.45, 68.53
33:0:72, -1.14, -0.34, 0.64, 0.00, -40.67, 24.99
33:0:72, -1.04, -0.17, 0.73, 54.60, -85.82, 25.48
33:0:72, -1.04, 0.11, 0.66, 80.22, -115.78, 38.15
33:0:72, -1.02, 0.09, 0.55, 96.88, -134.19, 46.62
33:0:72, -1.00, 0.21, 0.51, 94.29, -145.74, 48.65
33:0:72, -0.92, 0.20, 0.41, 87.71, -142.94, 64.75
33:0:72, -0.79, 0.05, 0.36, 68.74, -127.05, 83.93
33:0:72, -0.74, 0.05, 0.36, 61.53, -128.80, 69.65
33:0:72, -0.63, 0.05, 0.30, 63.70, -134.12, 45.99
33:0:72, -0.11, 0.25, 0.44, 53.76, -98.42, 37.94
33:0:72, -0.38, 0.14, 0.48, 43.47, -39.13, 62.58
